"S. No.,DISTRICT NAME",Area (sq. km)
"1,ARARIA",2830
"2,ARWAL",638
"3,AURANGABAD",3305
"4,BANKA",3020
"5,BEGUSARAI",1918
"6,BHABUA",3362
"7,BHAGALPUR",2569
"8,BHOJPUR",2395
"9,BUXAR",1703
"10,DARBHANGA",2279
"11,EAST CHAMPARAN",3968
"12,GAYA",4976
"13,GOPALGANJ",2033
"14,JAHANABAD",931
"15,JAMUI",3098
"16,KATIHAR",3057
"17,KHAGARIA",1485
"18,KISHANGANJ",1884
"19,LAKHISARAI",1228
"20,MADHEPURA",1788
"21,MADHUBANI",3501
"22,MONGHYR",1419
"23,MUZAFFARPUR",3172
"24,NALANDA",2355
"25,NAWADA",2494
"26,PATNA",3202
"27,PURNEA",3229
"28,ROHTAS",3847
"29,SAHARSA",1687
"30,SAMASTIPUR",2904
"31,SARAN",2641
"32,SHEIKHPURA",689
"33,SHEOHAR",349
"34,SITAMARHI",2294
"35,SIWAN",2219
"36,SUPAUL",2425
"37,VAISHALI",2036
"38,WEST CHAMPARAN",5228
"39,Bihar",94158
