MET.SUB/DISTRICT/STATION,,AREA(sq. km),,1-Jan-13,2-Jan-13,3-Jan-13,4-Jan-13,5-Jan-13,6-Jan-13,7-Jan-13,8-Jan-13,9-Jan-13,10-Jan-13,11-Jan-13,12-Jan-13,13-Jan-13,14-Jan-13,15-Jan-13,16-Jan-13,17-Jan-13,18-Jan-13,19-Jan-13,20-Jan-13,21-Jan-13,22-Jan-13,23-Jan-13,24-Jan-13,25-Jan-13,26-Jan-13,27-Jan-13,28-Jan-13,29-Jan-13,30-Jan-13,31-Jan-13,1-Feb-13,2-Feb-13,3-Feb-13,4-Feb-13,5-Feb-13,6-Feb-13,7-Feb-13,8-Feb-13,9-Feb-13,10-Feb-13,11-Feb-13,12-Feb-13,13-Feb-13,14-Feb-13,15-Feb-13,16-Feb-13,17-Feb-13,18-Feb-13,19-Feb-13,20-Feb-13,21-Feb-13,22-Feb-13,23-Feb-13,24-Feb-13,25-Feb-13,26-Feb-13,27-Feb-13,28-Feb-13,1-Mar-13,2-Mar-13,3-Mar-13,4-Mar-13,5-Mar-13,6-Mar-13,7-Mar-13,8-Mar-13,9-Mar-13,10-Mar-13,11-Mar-13,12-Mar-13,13-Mar-13,14-Mar-13,15-Mar-13,16-Mar-13,17-Mar-13,18-Mar-13,19-Mar-13,20-Mar-13,21-Mar-13,22-Mar-13,23-Mar-13,24-Mar-13,25-Mar-13,26-Mar-13,27-Mar-13,28-Mar-13,29-Mar-13,30-Mar-13,31-Mar-13,1-Apr-13,2-Apr-13,3-Apr-13,4-Apr-13,5-Apr-13,6-Apr-13,7-Apr-13,8-Apr-13,9-Apr-13,10-Apr-13,11-Apr-13,12-Apr-13,13-Apr-13,14-Apr-13,15-Apr-13,16-Apr-13,17-Apr-13,18-Apr-13,19-Apr-13,20-Apr-13,21-Apr-13,22-Apr-13,23-Apr-13,24-Apr-13,25-Apr-13,26-Apr-13,27-Apr-13,28-Apr-13,29-Apr-13,30-Apr-13,1-May-13,2-May-13,3-May-13,4-May-13,5-May-13,6-May-13,7-May-13,8-May-13,9-May-13,10-May-13,11-May-13,12-May-13,13-May-13,14-May-13,15-May-13,16-May-13,17-May-13,18-May-13,19-May-13,20-May-13,21-May-13,22-May-13,23-May-13,24-May-13,25-May-13,26-May-13,27-May-13,28-May-13,29-May-13,30-May-13,31-May-13,1-Jun-13,2-Jun-13,3-Jun-13,4-Jun-13,5-Jun-13,6-Jun-13,7-Jun-13,8-Jun-13,9-Jun-13,10-Jun-13,11-Jun-13,12-Jun-13,13-Jun-13,14-Jun-13,15-Jun-13,16-Jun-13,17-Jun-13,18-Jun-13,19-Jun-13,20-Jun-13,21-Jun-13,22-Jun-13,23-Jun-13,24-Jun-13,25-Jun-13,26-Jun-13,27-Jun-13,28-Jun-13,29-Jun-13,30-Jun-13,1-Jul-13,2-Jul-13,3-Jul-13,4-Jul-13,5-Jul-13,6-Jul-13,7-Jul-13,8-Jul-13,9-Jul-13,10-Jul-13,11-Jul-13,12-Jul-13,13-Jul-13,14-Jul-13,15-Jul-13,16-Jul-13,17-Jul-13,18-Jul-13,19-Jul-13,20-Jul-13,21-Jul-13,22-Jul-13,23-Jul-13,24-Jul-13,25-Jul-13,26-Jul-13,27-Jul-13,28-Jul-13,29-Jul-13,30-Jul-13,31-Jul-13,1-Aug-13,2-Aug-13,3-Aug-13,4-Aug-13,5-Aug-13,6-Aug-13,7-Aug-13,8-Aug-13,9-Aug-13,10-Aug-13,11-Aug-13,12-Aug-13,13-Aug-13,14-Aug-13,15-Aug-13,16-Aug-13,17-Aug-13,18-Aug-13,19-Aug-13,20-Aug-13,21-Aug-13,22-Aug-13,23-Aug-13,24-Aug-13,25-Aug-13,26-Aug-13,27-Aug-13,28-Aug-13,29-Aug-13,30-Aug-13,31-Aug-13,1-Sep-13,2-Sep-13,3-Sep-13,4-Sep-13,5-Sep-13,6-Sep-13,7-Sep-13,8-Sep-13,9-Sep-13,10-Sep-13,11-Sep-13,12-Sep-13,13-Sep-13,14-Sep-13,15-Sep-13,16-Sep-13,17-Sep-13,18-Sep-13,19-Sep-13,20-Sep-13,21-Sep-13,22-Sep-13,23-Sep-13,24-Sep-13,25-Sep-13,26-Sep-13,27-Sep-13,28-Sep-13,29-Sep-13,30-Sep-13,1-Oct-13,2-Oct-13,3-Oct-13,4-Oct-13,5-Oct-13,6-Oct-13,7-Oct-13,8-Oct-13,9-Oct-13,10-Oct-13,11-Oct-13,12-Oct-13,13-Oct-13,14-Oct-13,15-Oct-13,16-Oct-13,17-Oct-13,18-Oct-13,19-Oct-13,20-Oct-13,21-Oct-13,22-Oct-13,23-Oct-13,24-Oct-13,25-Oct-13,26-Oct-13,27-Oct-13,28-Oct-13,29-Oct-13,30-Oct-13,31-Oct-13,1-Nov-13,2-Nov-13,3-Nov-13,4-Nov-13,5-Nov-13,6-Nov-13,7-Nov-13,8-Nov-13,9-Nov-13,10-Nov-13,11-Nov-13,12-Nov-13,13-Nov-13,14-Nov-13,15-Nov-13,16-Nov-13,17-Nov-13,18-Nov-13,19-Nov-13,20-Nov-13,21-Nov-13,22-Nov-13,23-Nov-13,24-Nov-13,25-Nov-13,26-Nov-13,27-Nov-13,28-Nov-13,29-Nov-13,30-Nov-13,1-Dec-13,2-Dec-13,3-Dec-13,4-Dec-13,5-Dec-13,6-Dec-13,7-Dec-13,8-Dec-13,9-Dec-13,10-Dec-13,11-Dec-13,12-Dec-13,13-Dec-13,14-Dec-13,15-Dec-13,16-Dec-13,17-Dec-13,18-Dec-13,19-Dec-13,20-Dec-13,21-Dec-13,22-Dec-13,23-Dec-13,24-Dec-13,25-Dec-13,26-Dec-13,27-Dec-13,28-Dec-13,29-Dec-13,30-Dec-13,31-Dec-13,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET. SUBDIVISION: BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT: ARARIA,,"2,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAHARGAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORBESGANJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
