S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,1142.2,1333.4,-14.3
2,ARWAL,656.4,751.1,-12.6
3,AURANGABAD,822.8,854.8,-3.7
4,BANKA,788.8,912.1,-13.5
5,BEGUSARAI,770.8,1046.3,-26.3
6,BHABUA,1019,927.4,9.9
7,BHAGALPUR,935.3,972.3,-3.8
8,BHOJPUR,757.9,925.7,-18.1
9,BUXAR,808.9,828.9,-2.4
10,DARBHANGA,1244.5,891.2,39.6
11,EAST CHAMPARAN,1127.8,1056.4,6.8
12,GAYA,1075.8,857.8,25.4
13,GOPALGANJ,1010.6,975.4,3.6
14,JAHANABAD,775.1,818.7,-5.3
15,JAMUI,718,930,-22.8
16,KATIHAR,962.4,1106.4,-13.0
17,KHAGARIA,958.4,994.5,-3.6
18,KISHANGANJ,1601.3,1786.2,-10.4
19,LAKHISARAI,581.2,845.7,-31.3
20,MADHEPURA,1011.8,1118.5,-9.5
21,MADHUBANI,1161.8,975.9,19.0
22,MONGHYR,802.2,1024.2,-21.7
23,MUZAFFARPUR,1239.3,998.8,24.1
24,NALANDA,807.6,862.3,-6.3
25,NAWADA,871,841.5,3.5
26,PATNA,783.3,920.7,-14.9
27,PURNEA,828.4,1462.3,-43.3
28,ROHTAS,865.6,863.8,0.2
29,SAHARSA,900.8,1257.2,-28.3
30,SAMASTIPUR,1105.4,975.6,13.3
31,SARAN,1029.9,933.1,10.4
32,SHEIKHPURA,721.3,844.1,-14.5
33,SHEOHAR,857.4,1042.4,-17.7
34,SITAMARHI,1111.5,1061.4,4.7
35,SIWAN,1131.3,967.1,17.0
36,SUPAUL,1432.1,1092.5,31.1
37,VAISHALI,1285.1,959.3,34.0
38,WEST CHAMPARAN,2023.6,1277.4,58.4
